------------------------------------------------------------------------------------
Date: 12/4/2023 -- 22:59:45 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.end.state.established                    | Total                     | 49
flow.end.state.closed                         | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 62
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 12/6/2023 -- 23:27:18 (uptime: 0d, 00h 00m 05s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 183
decoder.bytes                                 | Total                     | 20338
decoder.ipv4                                  | Total                     | 169
decoder.ipv6                                  | Total                     | 2
decoder.ethernet                              | Total                     | 183
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 42
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 127
decoder.avg_pkt_size                          | Total                     | 111
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 63
flow.tcp                                      | Total                     | 3
flow.udp                                      | Total                     | 60
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
flow.wrk.flows_evicted                        | Total                     | 1
tcp.sessions                                  | Total                     | 3
tcp.ssn_from_pool                             | Total                     | 3
tcp.segment_from_pool                         | Total                     | 17
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 43
app_layer.tx.dns_udp                          | Total                     | 86
app_layer.flow.krb5_udp                       | Total                     | 2
app_layer.tx.krb5_udp                         | Total                     | 4
app_layer.flow.failed_udp                     | Total                     | 15
flow.end.state.new                            | Total                     | 11
flow.end.state.established                    | Total                     | 49
flow.end.state.closed                         | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 62
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 917504
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 12/6/2023 -- 23:27:42 (uptime: 0d, 00h 00m 04s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 183
decoder.bytes                                 | Total                     | 20338
decoder.ipv4                                  | Total                     | 169
decoder.ipv6                                  | Total                     | 2
decoder.ethernet                              | Total                     | 183
decoder.arp                                   | Total                     | 12
decoder.tcp                                   | Total                     | 42
tcp.syn                                       | Total                     | 3
tcp.synack                                    | Total                     | 3
decoder.udp                                   | Total                     | 127
decoder.avg_pkt_size                          | Total                     | 111
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 63
flow.tcp                                      | Total                     | 3
flow.udp                                      | Total                     | 60
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
flow.wrk.flows_evicted                        | Total                     | 1
tcp.sessions                                  | Total                     | 3
tcp.ssn_from_pool                             | Total                     | 3
tcp.segment_from_cache                        | Total                     | 3
tcp.segment_from_pool                         | Total                     | 14
app_layer.flow.krb5_tcp                       | Total                     | 1
app_layer.tx.krb5_tcp                         | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 43
app_layer.tx.dns_udp                          | Total                     | 86
app_layer.flow.krb5_udp                       | Total                     | 2
app_layer.tx.krb5_udp                         | Total                     | 4
app_layer.flow.failed_udp                     | Total                     | 15
flow.end.state.new                            | Total                     | 11
flow.end.state.established                    | Total                     | 49
flow.end.state.closed                         | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 3
